"url","name","type","cluster","indexable","gsc_28d_clicks","gsc_28d_impressions","gsc_28d_ctr","gsc_28d_position","gsc_row_present","google_crawled_not_indexed_report","blog_inbound_pages","product_inbound_pages","http_status","sitemap_lastmod"
"/instrumenty/chek-listy/","Чек-листы для ремонта","tool","Планирование ремонта","true","2","25","8%","8.9","true","false","0","1","200","2026-04-19"
"/instrumenty/kalendar-remonta/","Календарь ремонта","tool","Планирование ремонта","true","2","10","20%","3.5","true","false","0","4","200","2026-04-19"
"/instrumenty/kalkulyator/","Калькулятор на объекте","tool","Справочные помощники","false","","","","","false","false","0","0","",""
"/instrumenty/konverter/","Конвертер единиц измерения","tool","Справочные помощники","true","","","","","false","false","0","0","200","2026-04-19"
"/instrumenty/lineynyy-raskroy/","Калькулятор линейного раскроя","tool","Линейный раскрой и крепёж","true","33","736","4.5%","8.9","true","false","0","2","200","2026-04-19"
"/instrumenty/moy-remont/","Мастер «Мой ремонт»","tool","Планирование ремонта","true","0","9","0%","3.6","true","false","0","7","200","2026-04-19"
"/instrumenty/normy-raskhoda/","Таблица норм расхода строительных материалов","tool","Справочные помощники","true","17","302","5.6%","11.2","true","false","0","0","200","2026-04-19"
"/instrumenty/ploshchad-komnaty/","Калькулятор площади комнаты","tool","Геометрия комнаты","true","32","13345","0.2%","16.3","true","false","0","2","200","2026-04-19"
"/instrumenty/raskladka-kirpicha/","Генератор раскладки кирпичной кладки","tool","Кирпич и блоки","true","33","346","9.5%","9.1","true","false","0","0","200","2026-04-19"
"/instrumenty/raskladka-laminata/","Генератор раскладки ламината","tool","Ламинат и покрытия пола","true","335","2750","12.2%","5.5","true","false","5","1","200","2026-04-19"
"/instrumenty/raskladka-listov/","Генератор раскладки листов ГКЛ и ОСП","tool","ГКЛ и раскладка листов","true","10","145","6.9%","10.7","true","false","0","4","200","2026-04-19"
"/instrumenty/raskladka-oboev/","Генератор раскладки обоев","tool","Обои","true","3","39","7.7%","6.1","true","false","1","1","200","2026-04-19"
"/instrumenty/raskladka-plitki/","Генератор раскладки плитки","tool","Плитка и мокрые зоны","true","304","3734","8.1%","13.3","true","false","3","1","200","2026-04-19"
"/instrumenty/raskladka-reek/","Калькулятор реек на стену с визуальной раскладкой","tool","Панели и декоративные рейки","true","31","536","5.8%","4.6","true","false","0","0","200","2026-04-19"
"/instrumenty/raskladka-terrasnoy-doski/","Раскладка террасной доски","tool","Участок и терраса","true","3","91","3.3%","8.3","true","false","0","1","200","2026-04-19"
"/instrumenty/raskladka-trotuarnoy-plitki/","Раскладка тротуарной плитки","tool","Участок и терраса","true","32","211","15.2%","8.4","true","false","0","0","200","2026-04-19"
"/instrumenty/rasstanovka-svetilnikov/","Схема точечных светильников","tool","Потолки и светильники","true","5","65","7.7%","22.2","true","false","0","0","200","2026-04-19"
"/instrumenty/skolko-ostalos/","Калькулятор «Сколько осталось»","tool","Планирование ремонта","true","0","46","0%","4.9","true","false","0","0","200","2026-04-19"
"/instrumenty/sravnenie-materialov/","Сравнение строительных материалов","tool","Справочные помощники","true","0","8","0%","6.9","true","false","0","0","200","2026-04-19"
"/instrumenty/stoimost-remonta/","Калькулятор стоимости ремонта","tool","Планирование ремонта","true","1","698","0.1%","48.5","true","false","0","3","200","2026-04-19"
"/instrumenty/tajmer-skhvatyvaniya/","Таймер схватывания и высыхания","tool","Справочные помощники","true","","","","","false","false","1","5","200","2026-04-19"
"/kalkulyatory/fasad/dekorativnaya-shtukaturka/","Калькулятор декоративной штукатурки","calculator","Штукатурка и малярная отделка","true","3","378","0.8%","25","true","false","0","1","200","2026-05-25"
"/kalkulyatory/fasad/fasadnye-paneli/","Калькулятор фасадных панелей","calculator","Фасад, каркас и утепление","true","1","189","0.5%","15.2","true","false","0","1","200","2026-05-25"
"/kalkulyatory/fasad/gazon/","Калькулятор газона","calculator","Участок и терраса","true","0","10","0%","7.5","true","false","0","5","200","2026-05-25"
"/kalkulyatory/fasad/kalkulyator-terrasnoy-doski/","Калькулятор террасной доски","calculator","Участок и терраса","true","0","408","0%","21.8","true","false","0","2","200","2026-05-25"
"/kalkulyatory/fasad/oblitsovochnyj-kirpich/","Калькулятор облицовочного кирпича","calculator","Фасад, каркас и утепление","true","0","97","0%","33.6","true","false","0","3","200","2026-05-25"
"/kalkulyatory/fasad/sayding/","Калькулятор сайдинга","calculator","Фасад, каркас и утепление","true","0","64","0%","30.1","true","false","0","10","200","2026-05-25"
"/kalkulyatory/fasad/teplitsa-iz-polikarbonata/","Калькулятор теплицы из поликарбоната","calculator","Участок и терраса","true","7","195","3.6%","15.2","true","false","0","6","200","2026-05-25"
"/kalkulyatory/fasad/trotuarnaya-plitka/","Калькулятор тротуарной плитки","calculator","Участок и терраса","true","6","282","2.1%","10.8","true","false","1","7","200","2026-05-25"
"/kalkulyatory/fasad/uteplenie-fasada-minvatoj/","Калькулятор утепления фасада минватой","calculator","Фасад, каркас и утепление","true","4","170","2.4%","10.4","true","false","1","13","200","2026-05-25"
"/kalkulyatory/fasad/uteplenie/","Калькулятор утеплителя","calculator","Фасад, каркас и утепление","true","","","","","false","true","1","10","200","2026-05-25"
